,City,Latitude,Temperature,Cloudiness,Windspeed,Humidity
0,New Norfolk,-42.78,10.0,12,7.7,66
1,Abha,18.22,20.96,0,1.5,49
2,Vaini,15.34,20.93,92,3.87,98
3,Mareeba,-16.99,22.0,75,5.7,49
4,Mahebourg,-20.41,22.0,75,2.1,68
5,Patacamaya,-17.23,9.48,92,3.77,54
6,Anadyr,64.73,10.0,0,1.0,87
7,Punta Arenas,-53.16,2.0,90,2.6,100
8,Butaritari,3.07,27.88,20,3.52,100
9,Kapaa,22.08,27.54,90,8.2,78
10,Tasiilaq,65.61,5.0,0,4.6,80
11,Cape Town,-33.93,7.0,40,2.6,87
12,Anloga,5.79,24.0,20,4.6,88
13,Hermanus,-34.42,4.28,24,1.02,100
14,Rikitea,-23.12,23.33,44,3.12,100
15,Lebu,8.96,9.88,48,1.37,90
16,Acapulco,16.86,31.0,75,2.1,66
17,Vanimo,-2.67,25.78,92,4.22,100
18,Port Elizabeth,39.31,31.35,1,3.6,70
19,Castro,-42.48,8.18,56,1.82,93
20,Bambous Virieux,-20.34,22.0,75,2.1,68
21,Mar del Plata,-46.43,7.88,0,2.22,58
22,Mataura,-46.19,0.58,8,1.27,83
23,Nikolskoye,59.7,16.0,20,3.0,82
24,Teguldet,57.31,8.73,0,2.42,80
25,Bahia Blanca,-38.72,11.13,92,6.57,94
26,Namibe,-15.19,18.23,0,2.57,99
27,Sept-Iles,50.2,18.0,90,2.6,93
28,Ushuaia,-54.81,3.0,20,1.32,69
29,Qaanaaq,77.48,4.03,64,1.32,87
30,Araouane,18.9,34.08,36,3.57,33
31,Lompoc,34.64,24.47,1,4.6,23
32,Los Llanos de Aridane,28.66,23.0,0,7.2,78
33,Hastings,-39.64,12.73,80,7.77,96
34,Leningradskiy,69.38,1.73,92,10.27,100
35,Calbuco,-41.77,9.0,75,4.1,81
36,Saint George,39.45,23.0,0,2.1,78
37,Vila Velha,-3.71,27.0,75,5.1,74
38,Longyearbyen,78.22,9.0,40,3.1,70
39,Klaksvik,62.23,10.0,88,5.1,100
40,Marsh Harbour,26.54,28.93,8,3.87,100
41,Geraldton,49.72,19.0,40,2.6,59
42,Ukiah,39.15,28.0,1,1.5,23
43,Tateyama,36.66,18.68,20,0.67,97
44,Chokurdakh,70.62,2.33,0,3.77,89
45,Atar,20.52,34.88,20,3.22,31
46,Kahului,20.89,28.27,40,6.7,48
47,Manado,1.49,22.0,20,0.72,88
48,Poum,41.28,21.0,20,0.5,64
49,Albany,42.65,24.85,75,2.6,83
50,Saskylakh,71.97,12.33,0,1.22,81
51,Hasaki,35.73,22.53,75,10.8,94
52,Thompson,55.74,18.0,90,2.6,93
53,Kaspiyskiy,45.39,24.23,12,3.82,92
54,Nouadhibou,20.93,21.0,75,3.1,88
55,Ribeira Grande,38.52,23.0,75,3.6,78
56,Yarada,17.65,27.58,100,10.27,100
57,Coquimbo,-29.95,18.0,0,6.2,63
58,Bluff,-23.58,3.98,0,1.42,70
59,Dalmeny,52.34,29.0,75,8.2,26
60,Chinhoyi,-17.36,18.08,0,3.77,41
61,Sao Gabriel da Cachoeira,-0.13,30.0,20,1.0,70
62,Zyryanka,65.73,9.13,0,1.62,68
63,Mapastepec,15.44,26.08,20,1.32,87
64,Pevek,69.7,1.93,88,4.72,100
65,Serebryanyy Bor,56.8,10.78,92,1.07,94
66,Sawtell,-30.38,3.0,40,2.6,93
67,Derzhavinsk,51.1,19.78,8,3.32,67
68,Port Alfred,-33.59,13.73,8,10.02,90
69,Jamestown,-33.21,8.98,92,7.72,91
70,Busselton,-33.64,16.08,64,9.17,98
71,Panaba,21.28,25.88,36,3.02,100
72,Alta Floresta,-9.87,35.73,0,1.67,20
73,Tromso,69.65,11.0,75,1.0,71
74,Tuatapere,-46.13,5.88,88,2.07,100
75,Puerto Ayora,-0.74,28.0,40,7.2,51
76,Upernavik,72.79,5.73,92,2.72,86
77,Hobart,-42.88,10.0,0,7.7,66
78,Dale,24.09,23.98,36,1.07,96
79,Hamilton,32.3,27.0,75,3.1,78
80,Presidencia Roque Saenz Pena,-26.79,27.08,92,6.82,54
81,Port Hedland,-20.31,10.0,0,2.1,43
82,Tallahassee,30.44,32.45,40,3.6,52
83,Bethel,60.79,12.0,90,3.6,81
84,Itarema,-2.92,27.73,12,7.42,66
85,Phan Thiet,10.93,23.88,92,6.92,100
86,Meulaboh,4.14,23.83,44,1.22,100
87,Ostuni,40.73,25.22,0,1.5,78
88,Mango,44.69,22.53,0,2.1,78
89,Kaitangata,-46.28,5.03,64,1.32,82
90,Dikson,73.51,9.83,48,9.27,79
91,San Rafael,-34.61,11.53,0,9.02,23
92,Harper,30.3,33.69,40,4.07,36
93,Gbadolite,4.28,21.03,80,1.47,97
94,Toora-Khem,52.47,6.98,24,0.77,89
95,Carballo,43.21,17.08,40,1.0,93
96,Provideniya,64.42,9.0,90,2.0,81
97,Ezequiel Montes,20.66,25.0,75,6.2,33
98,Yellowknife,62.45,17.0,75,5.7,59
99,Huarmey,-10.07,21.68,0,2.07,56
100,Bredasdorp,-34.53,8.0,80,2.6,87
101,Rome,41.89,26.36,0,1.0,69
102,Ust-Kulom,61.69,12.08,20,2.82,91
103,Cidreira,-30.17,15.53,0,5.87,76
104,Prabumulih,-3.5,25.98,80,2.07,69
105,Port Blair,11.67,27.63,88,10.62,100
106,Bara,10.41,24.78,36,2.47,78
107,Kavieng,-2.57,27.58,36,2.82,100
108,Mehamn,71.03,9.73,75,10.8,87
109,Praia da Vitoria,38.73,25.0,40,4.57,73
110,Maturin,9.75,27.98,24,3.12,82
111,Derbent,42.06,18.08,0,0.52,84
112,Turka,49.16,14.18,0,1.62,86
113,Caraballeda,10.61,29.0,75,2.1,70
114,Turukhansk,65.8,10.73,88,5.52,88
115,Johi,26.69,28.48,12,0.87,85
116,East London,-33.02,15.73,0,13.92,100
117,Victoria,5.28,25.49,75,1.5,88
118,Katsuura,33.93,22.83,0,2.32,93
119,Beringovskiy,63.05,12.48,44,2.77,97
120,Khudumelapye,-23.91,15.98,32,4.02,32
121,Ahipara,-35.17,12.13,92,5.87,100
122,Hualmay,-11.1,19.33,32,3.12,73
123,Lagoa,37.14,28.0,0,3.6,48
124,Grand Forks,47.91,29.2,1,5.7,45
125,Bathsheba,13.22,30.0,40,9.8,66
126,Oyama,36.31,23.0,75,7.7,94
127,San Patricio,-26.98,23.58,0,3.02,55
128,Saldanha,41.42,20.23,0,2.87,49
129,Russell,-33.01,15.0,20,3.6,54
130,Tiznit,29.7,22.88,0,2.17,82
131,Palaia Fokaia,37.72,25.07,0,2.6,38
132,Tautira,-17.73,29.0,20,8.7,58
133,Kodiak,39.95,28.0,20,3.1,69
134,Hithadhoo,-0.6,27.63,92,2.47,100
135,Arraial do Cabo,-22.97,20.0,75,2.1,88
136,Avarua,-21.21,21.0,75,2.1,94
137,Luganville,-15.51,24.43,56,5.72,100
138,Carnarvon,-30.97,-3.83,0,3.12,67
139,Atuona,-9.8,23.98,100,6.37,100
140,Khatanga,71.98,7.13,0,1.27,87
141,Ginda,30.69,13.98,8,0.77,98
142,Tiksi,71.64,9.58,0,3.57,82
143,Smithers,54.78,26.0,20,1.5,29
144,Puerto Narino,-3.77,26.0,75,2.1,83
145,Barrow,-38.31,18.88,76,5.72,57
146,Masuda,34.68,26.0,20,2.6,57
147,Muros,42.77,16.0,40,1.0,93
148,Vao,59.1,15.33,0,3.42,66
149,Stephenville,32.22,36.41,40,4.1,34
150,Cananea,30.98,33.0,1,1.62,27
151,Saint-Philippe,45.36,27.25,40,5.1,65
